CarModel0,Mass_kg0,CarModel1,Mass_kg1,CarModel2,Mass_kg2,CarModel3,Mass_kg3,CarModel4,Mass_kg4,SumRandomValue,TotalMass,TotalLength,Velocity1,GravityCenter1,Velocity2,TheoreticalVelocity2,GravityCenter2,T12,TheoreticalT12,Velocity3,TheoreticalVelocity3,GravityCenter3,T23,TheoreticalT23
52FTGONDOLA,29710,73FTCENTERBEAM,28120,23.5kGALTANK,35110,null,null,null,null,185.03391667622827,92940,58.84,3.503803213490395,-2.181687411663439,5.768419703821683,5.809959289099661,-3.8998479203242202,25.919,25.818,3.098124091244668,3.2491567415618547,-4.040327321517094,61.492,60.431
73FTCENTERBEAM,127235.02257527738,BNCOIL,107565.80762030982,5188COVEREDHOPPER,63104.15246137256,null,null,null,null,-302.10132945453006,297904.98265695974,55.92,2.8183266800736155,-2.164916842914065,5.825647296908468,5.803607006743348,-3.9077870000000012,27.576,27.631,4.01013471604255,3.9435290074699227,-4.039290915807411,55.211,55.599
29.3kGALTANK,36740,29.3kGALTANK,36740,29.3kGALTANK,102177.71207963886,3285CFCOVEREDHOPPER,59328.49612444007,25.39kGALTANK,40910,-263.41778485469473,275896.20820407895,85.69,3.8248719649102556,-1.9677252375227285,6.4069992071699104,6.388558883896955,-3.853393166340843,24.050,24.086,4.408181924155621,4.353669086363753,-4.031227841544993,50.011,50.273
25.39kGALTANK,40910,68FTFLAT,41581.257574583076,23.5kGALTANK,120094.0665313884,BIAUTORACK,60212.042566307326,null,null,-266.16609818409603,262797.36667227885,86.1,3.516326006324108,-1.9317500496653042,6.37294025528374,6.353049191717703,-3.8449115152457116,24.820,24.861,4.596892546440647,4.540371987359085,-4.029847714193703,49.202,49.464
68FTFLAT,37060,5188COVEREDHOPPER,28120,BNCOIL,107533.64070699866,null,null,null,null,142.44860154648035,172713.64070699865,53.72,1.4673381387289033,-2.3769354013373993,4.717100498998475,4.739066860218958,-3.9077870000000003,35.155,35.065,1.7768859963858974,1.890868920971678,-4.049139129260697,83.879,82.413
66FTGONDOLA,122464.67103481367,3285CFCOVEREDHOPPER,68048.91026803006,null,null,null,null,null,null,10.864510488187051,190513.58130284373,34.22,3.6045202119869257,-2.372862884523734,5.822483955739623,5.823829589661913,-3.9077870000000003,25.165,25.159,3.9349465673247206,3.9384362473434886,-4.048884129223945,55.594,55.579
73FTCENTERBEAM,28120,4750CFCOVEREDHOPPER,84951.2939138851,23.5kGALTANK,35110,29.3kGALTANK,43195.09556356461,3285CFCOVEREDHOPPER,24030,-25.23225199019609,215406.3894774497,90.79,3.862884147987426,-1.8648214821389826,6.51010896885816,6.507919217829858,-3.8302998731265716,23.853,23.854,4.498260798963192,4.491941112193634,-4.027350635411258,49.040,49.072
52FTGONDOLA,58716.32039892299,5188COVEREDHOPPER,88370.5562027172,BNCOIL,109046.82276658542,null,null,null,null,34.0281705954465,256133.6993682256,48.72,2.8906221366670057,-2.3305522979225763,5.449886329081564,5.453021237180222,-3.9077870000000003,27.982,27.971,3.226103469284028,3.236364005466304,-4.046893506961442,62.642,62.571
TRIAUTORACK,55428.117992330546,5188COVEREDHOPPER,113183.1157267211,66FTGONDOLA,96260.1213124662,33.7kGALTANK,45630,null,null,48.68637892867899,310501.35503151786,87.72000000000001,1.421790592006757,-1.9186762337049275,5.535761792769947,5.539326886068152,-3.851149527898516,33.795,33.778,3.2476252909801007,3.259895836159744,-4.0288494492252225,61.490,61.406
73FTCENTERBEAM,28120,4750CFCOVEREDHOPPER,108657.65039288187,null,null,null,null,null,null,46.70242048446681,136777.6503928819,42.85,3.407607177600202,-2.4378672941933073,5.468300166554361,5.47629370812641,-3.907787,26.346,26.324,3.1284739110605804,3.1558926037970547,-4.051943018834866,63.213,63.013
73FTCENTERBEAM,38011.912853039306,73FTCENTERBEAM,28120,null,null,null,null,null,null,24.1798350725131,66131.9128530393,49.1,3.631561092751476,-2.2197347048516343,5.736761619885803,5.744531218247946,-3.9077870000000003,25.618,25.597,2.829871773485159,2.8599854231231,-4.041677303099062,63.933,63.704
66FTGONDOLA,100983.62350727235,29.3kGALTANK,36740,73FTCENTERBEAM,28120,BNCOIL,106997.85875257503,BIAUTORACK,45360,190.6477569393904,318201.48225984734,106.53999999999999,1.889987687152849,-1.4060748490106547,6.216077727618394,6.227990326172559,-3.662136270010539,28.562,28.525,4.645467232874516,4.678225828281658,-4.016423004642438,48.700,48.558
33.7kGALTANK,103165.70227157245,null,null,null,null,null,null,null,null,10.446673599027491,103165.70227157245,19.98,3.5765271290568736,-2.498468,5.594858851092794,5.597266565854143,-3.9077870000000003,25.533,25.525,3.7053363162854644,3.712230422818612,-4.054794321708444,58.270,58.231
BIAUTORACK,49835.59894584071,33.7kGALTANK,97787.73592685159,33.7kGALTANK,45630,null,null,null,null,82.03330847814934,193253.3348726923,68.56,1.6053696926646157,-2.1218254089855177,5.298757327666541,5.308877891632902,-3.892939829316854,33.314,33.273,2.966714076312884,3.002857003340595,-4.0375734063919175,65.680,65.394
3285CFCOVEREDHOPPER,54344.48384022828,100TROPENTOPHOPPER,34026.38676629755,25.39kGALTANK,61056.65624615614,4750CFCOVEREDHOPPER,66655.97514859212,TRIAUTORACK,72130.92826438711,-155.60747646006877,288214.4302656612,94.05000000000001,2.5464149312389286,-1.7065780621637179,6.033028119706652,6.021950392928151,-3.76621814831131,27.897,27.925,3.9402271704892695,3.9059865497757302,-4.023310012894754,53.654,53.844
33.7kGALTANK,109668.03379641948,100TOPENTOPHOPPER,56877.49815919079,33.7kGALTANK,88854.02090399693,BNCOIL,76738.30563928306,BNCOIL,19140,-171.84412077105668,351277.8584988903,82.49,2.0286722516655136,-1.8519302756357745,5.840177841822833,5.829572704055424,-3.819839679353937,30.694,30.726,3.9646459324622616,3.9331678269729538,-4.026114577075956,54.838,55.020
100TOPENTOPHOPPER,98357.30604915874,BIAUTORACK,79561.18117411611,null,null,null,null,null,null,159.25508920470696,177918.48722327483,43.75,3.8310239079683397,-2.2196172098422586,6.131629957172664,6.150191435546052,-3.9077870000000003,24.277,24.236,4.037213205825794,4.093628825094748,-4.041672460797814,53.437,53.141
73FTCENTERBEAM,96710.32299981923,68FTFLAT,84434.95046466669,BIAUTORACK,45360,100TOPENTOPHOPPER,28030,BNCOIL,62723.80855189289,-323.1601133406799,317259.0820163788,104.34,2.0773086530625298,-1.4892766297250115,6.150950032505014,6.130132576353772,-3.681755594092705,28.485,28.542,4.449013885846235,4.3910544983612825,-4.018206940705913,50.004,50.281
25.39kGALTANK,40910,100TROPENTOPHOPPER,88341.58480660069,52FTGONDOLA,29710,null,null,null,null,-281.895417563595,158961.5848066007,51.74,1.5244672092712768,-2.2121567057660747,5.0835206293468636,5.040287724181479,-3.907787,34.124,34.287,2.5088176200598076,2.3253661961835754,-4.041400773819685,71.889,73.733
TRIAUTORACK,47990,33.7kGALTANK,69179.04824460612,23.5kGALTANK,35110,null,null,null,null,-198.95342350785177,152279.04824460612,65.52,3.635406668667946,-2.1425131141616482,6.153137684288423,6.126775679042574,-3.8973033466437816,24.785,24.839,4.25312339822807,4.174568013108935,-4.038524603973818,52.141,52.549
52FTGONDOLA,86033.50981561148,33.7kGALTANK,94235.5487679493,BNCOIL,59520.06113991523,null,null,null,null,174.91622751412055,239789.119723476,51.019999999999996,2.1252804418298075,-2.2208746256388814,5.359870453715717,5.377206790296927,-3.907787000000001,30.915,30.857,3.1874803637087856,3.245840457792066,-4.041827146922514,63.595,63.161
52FTGONDOLA,29710,68FTFLAT,37060,null,null,null,null,null,null,-32.58205406728969,66770,39.7,2.900524989899889,-2.328171142878538,5.106809142854114,5.095485259447168,-3.9077870000000003,28.870,28.899,1.4712310825460848,1.3917303193893198,-4.046780453919695,84.007,85.107
5188COVEREDHOPPER,28120,100TROPENTOPHOPPER,26540,66FTGONDOLA,86436.22174269632,4750CFCOVEREDHOPPER,63639.23220294896,29.3kGALTANK,54080.89243372277,-149.72869138155238,258816.346379368,91.86,1.921952429312738,-1.9280280978877853,5.598924378752446,5.586127543297536,-3.845115518972606,31.183,31.223,3.335273431423334,3.2917282367341216,-4.0306083647193525,60.446,60.751
BIAUTORACK,52380.338852433226,BIAUTORACK,48487.46001202262,null,null,null,null,null,null,124.15228970807522,100867.79886445584,57.2,1.5869628709236183,-2.16887407117484,5.031925468845664,5.062229084203304,-3.907787000000001,34.284,34.163,1.607655092195303,1.7873108596308198,-4.039464146954346,82.589,80.347
33.7kGALTANK,46228.200196200356,4750CFCOVEREDHOPPER,106695.27850126941,73FTCENTERBEAM,28120,null,null,null,null,-117.82523415896907,181043.47869746975,62.83,2.856050016127996,-2.0593831930505746,5.8819930973357195,5.868253054267283,-3.8959859666516565,27.539,27.572,3.7845039618175287,3.740579423838081,-4.034579144227812,56.205,56.472
4750CFCOVEREDHOPPER,53856.047188840465,68FTFLAT,69554.64727923655,null,null,null,null,null,null,7.51515939440489,123410.69446807701,40.650000000000006,2.6933191997353125,-2.327536953578897,5.3044638924744,5.306079553137416,-3.907787000000001,28.919,28.911,2.878587196142986,2.883582505581582,-4.0467515686231605,66.501,66.465
4750CFCOVEREDHOPPER,29260,25.39kGALTANK,40910,null,null,null,null,null,null,-76.44475414749226,70170,36.510000000000005,2.9588029919547623,-2.384107241128688,5.160636140905683,5.135151840092287,-3.9077870000000003,28.442,28.509,2.223385720243021,2.101145053213948,-4.049412828518851,74.038,75.336
3285CFCOVEREDHOPPER,24030,null,null,null,null,null,null,null,null,-90.10775142195457,24030,12.76,3.930477911694034,-2.5598379999999996,5.233495598257673,5.14881880152416,-3.907787,25.579,25.770,1.8983433637471407,1.3680570431901367,-4.057681702930424,76.954,83.454
3285CFCOVEREDHOPPER,24030,100TOPENTOPHOPPER,87223.98192604759,29.3kGALTANK,36740,BIAUTORACK,61618.48445007128,null,null,-207.76564224576083,209612.4663761189,74.75,3.130163385405079,-1.939201277717703,6.129391450080096,6.109281870105424,-3.8628172663889906,26.422,26.469,4.092085647335731,4.030682391428348,-4.0297492630373135,52.953,53.284
5188COVEREDHOPPER,103286.1798719724,29.3kGALTANK,36740,5188COVEREDHOPPER,129536.65683501643,73FTCENTERBEAM,55926.663430127526,null,null,66.62214000807033,325489.5001371164,78.15,2.8323453625528408,-1.902923953300198,6.125236147278905,6.129351271886225,-3.8420991780008973,27.293,27.279,4.346762526985602,4.35898728154082,-4.028236860340713,51.495,51.438
33.7kGALTANK,66117.28813794839,100TOPENTOPHOPPER,50548.305612821176,null,null,null,null,null,null,-241.8700496659032,116665.59375076956,35.13,2.4127536228418007,-2.370296133794625,5.083287331766819,5.032581952654428,-3.9077870000000003,30.303,30.455,2.5322680851378507,2.3183355233540786,-4.048763789154005,71.560,73.695
